,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,currency,financialCurrency,shortName,regularMarketChangePercent,hasPrePostMarketData,firstTradeDateMilliseconds,priceHint,regularMarketChange,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bidSize,askSize,market,messageBoardId,fullExchangeName,longName,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,corporateActions,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekChangePercent,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,earningsCallTimestampStart,earningsCallTimestampEnd,isEarningsDateEstimate,trailingAnnualDividendRate,trailingPE,dividendRate,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,esgPopulated,tradeable,cryptoTradeable,ask,marketCap,bid,exchange,fiftyTwoWeekHigh,fiftyTwoWeekLow,averageAnalystRating,dividendYield,symbol,prevName,nameChangeDate
10,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,LIFE INSURA CORP OF INDIA,-1.5669976,FALSE,1.65276E+12,2,-13.350037,1767861759,838.6,851.3,835.1 - 851.3,835.1,602871,851.95,,,in_market,finmb_8033827,NSE,Life Insurance Corporation of India,850.1,1292777,847761,[],123.29999,0.17237522,715.3 - 980.0,-141.40002,-0.14428574,1.0496974,1762423200,1762423200,1762423200,1762435800,1762435800,FALSE,0,10.383853,12,0,REGULAR,80.76,90.96523,83.37588,10.058064,6324997701,192.552,878.309,-39.709045,-0.04521079,883.0325,-44.432495,-0.050318077,9.218906,4.355187,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,838.6,5.30414E+12,838.75,NSI,980,715.3,1.7 - Buy,1.41,LICI.NS,,
11,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,MARUTI SUZUKI INDIA LTD.,-0.8744795,FALSE,1.05772E+12,2,-147,1767861760,16662,16808,16541.0 - 16808.0,16541,174339,16809,0,0,in_market,finmb_4863668,NSE,Maruti Suzuki India Limited,16808,333941,368963,[],5602.55,0.5065848,11059.45 - 17370.0,-708,-0.040759932,43.170464,1761904800,1769680800,1769680800,1761913800,1761913800,TRUE,0,35.402103,135,0,REGULAR,470.65,608.1767,508.12888,32.790894,314402574,3172.502,16177.7,484.2998,0.029936258,14174.397,2487.6025,0.17549971,27.396643,5.252006,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,16663,5.23858E+12,16663,NSI,17370,11059.45,1.8 - Buy,0.8,MARUTI.NS,,
12,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,USD,HCL TECHNOLOGIES LTD,0.29124743,FALSE,1.02912E+12,2,4.800049,1767861760,1652.5,1660.6,1635.4 - 1660.6,1635.4,2216346,1647.7,0,0,in_market,finmb_777058,NSE,HCL Technologies Limited,1653.3,2309693,2002161,[],349.75,0.26847056,1302.75 - 2012.2,-359.69995,-0.17875955,-14.838743,1768212000,1768212000,1768212000,1768226400,1768226400,FALSE,0.612,26.393547,48,0.000371427,REGULAR,62.61,72.76987,64.4221,25.651136,2705510289,267.30978,1622.29,30.20996,0.0186218,1561.4723,91.02771,0.058296077,22.708576,6.181966,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,1652.8,4.47713E+12,1652.6,NSI,2012.2,1302.75,2.4 - Buy,2.91,HCLTECH.NS,,
13,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,MAHINDRA & MAHINDRA LTD,-0.41615796,FALSE,8.20468E+11,2,-15.600098,1767861758,3733.2,3756.8,3693.2 - 3756.8,3693.2,879599,3748.8,0,0,in_market,finmb_878402,NSE,Mahindra & Mahindra Limited,3730,1985535,1410328,[],1308.2,0.5394639,2425.0 - 3839.9,-106.69995,-0.02778717,19.904041,1762250400,1762250400,1762250400,1753966800,1753966800,FALSE,0,29.551174,25.3,0,REGULAR,126.33,140.82053,122.94882,30.363853,1200046280,741.994,3669.736,63.463867,0.01729385,3316.803,416.39697,0.12554167,26.51034,5.031307,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,3733.2,4.48001E+12,3731.9,NSI,3839.9,2425,1.4 - Strong Buy,0.67,M&M.NS,,
14,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,ITC LTD,-0.014648438,FALSE,8.20468E+11,2,-0.049987793,1767861760,341.2,345.15,339.05 - 345.15,339.05,28584422,341.25,0,0,in_market,finmb_878153,NSE,ITC Limited,341.5,19206584,64876051,[],3.4500122,0.010214692,337.75 - 471.5,-130.29999,-0.27635205,-24.183517,1761818400,1769680800,1769680800,,,TRUE,7.85,21.179392,15.7,0.023003662,REGULAR,16.11,17.99955,16.72314,20.402866,12528959771,56.707,399.4,-58.19998,-0.14571853,411.93274,-70.73273,-0.1717094,18.95603,6.016894,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,340.95,4.27488E+12,341.1,NSI,471.5,337.75,1.4 - Strong Buy,4.6,ITC.NS,,
15,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,KOTAK MAHINDRA BANK LTD,-0.643719,FALSE,9.94046E+11,2,-13.800049,1767861760,2130.2,2143,2118.6 - 2143.0,2118.6,1465873,2144,0,0,in_market,finmb_932131,NSE,Kotak Mahindra Bank Limited,2140.1,2864948,2626351,"[{'header': 'Stock split', 'message': 'KOTAKBANK.NS announces 5 for 1 split effective Jan. 14, 2026', 'meta': {'eventType': 'SPLIT', 'dateEpochMs': 1768329000000, 'splitRatio': '5:1'}}]",406.44995,0.23579402,1723.75 - 2301.9,-171.69995,-0.074590534,19.76316,1761386400,1768644000,1768644000,1761391800,1761391800,TRUE,0,22.787762,2.5,0,REGULAR,93.48,108.548,82.64872,25.774143,1988752989,845.015,2133.284,-3.0839844,-0.001445651,2104.0183,26.18164,0.012443638,19.624498,2.520902,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,2130.5,4.23644E+12,2130.6,NSI,2301.9,1723.75,2.0 - Buy,0.12,KOTAKBANK.NS,,
16,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,SUN PHARMACEUTICAL IND L,-0.9478952,FALSE,8.20468E+11,2,-16.900024,1767861756,1765.7,1778.6,1760.2 - 1778.6,1760.2,1405362,1782.6,0,0,in_market,finmb_141232,NSE,Sun Pharmaceutical Industries Limited,1766,1867307,1818080,[],217.69995,0.14063305,1548.0 - 1851.2,-85.5,-0.046186257,-2.3954868,1762336800,1762336800,1762336800,1762347600,1762347600,FALSE,0,40.432793,16,0,REGULAR,43.67,56.20265,48.58126,36.345287,2399334970,324.462,1756.428,9.271973,0.00527888,1695.7362,69.963745,0.041258626,31.416668,5.4419312,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,1766,4.23651E+12,1765.5,NSI,1851.2,1548,1.7 - Buy,0.9,SUNPHARMA.NS,,
17,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,AXIS BANK LIMITED,-0.47857592,FALSE,9.12138E+11,2,-6.199951,1767861760,1289.3,1303.2,1283.8 - 1303.2,1283.8,2781501,1295.5,0,0,in_market,finmb_3729884,NSE,Axis Bank Limited,1291.1,5194346,4390199,[],355.80005,0.38114628,933.5 - 1304.6,-15.299927,-0.011727677,22.015535,1760522400,1768471200,1768471200,1760532600,1760532600,TRUE,0,15.453674,1,0,REGULAR,83.43,108,86,14.991861,3105220003,643.264,1254.454,34.84607,0.027777879,1176.2402,113.059814,0.096119665,11.9379635,2.0043094,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,1289.3,4.00356E+12,1288.5,NSI,1304.6,933.5,1.5 - Buy,0.08,AXISBANK.NS,,
18,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,TITAN COMPANY LIMITED,-0.3603779,FALSE,8.20468E+11,2,-15.400391,1767861760,4257.8,4303.2,4248.3 - 4303.2,4248.3,744991,4273.2,0,0,in_market,finmb_708276,NSE,Titan Company Limited,4273.2,859070,1214979,[],1332.7998,0.45565805,2925.0 - 4312.1,-54.300293,-0.01259254,22.54485,1762164000,1770199200,1770199200,1762223400,1762223400,TRUE,0,91.408325,11,0,REGULAR,46.58,66.39327,54.44148,78.20875,887045260,144.377,3893.004,364.7959,0.093705505,3592.9517,664.84814,0.18504234,64.12999,29.490847,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,4257.7,3.77686E+12,4257.6,NSI,4312.1,2925,1.7 - Buy,0.26,TITAN.NS,,
19,en-US,US,EQUITY,Equity,Free Realtime Quote,FALSE,LOW,INR,INR,ULTRATECH CEMENT LIMITED,-1.0014776,FALSE,1.02912E+12,2,-122,1767861761,12062,12188,12034.0 - 12188.0,12034,111984,12184,0,0,in_market,finmb_13192517,NSE,UltraTech Cement Limited,12165,211940,205870,[],2014.1504,0.20045586,10047.85 - 13097.0,-1035,-0.07902573,8.207965,1769248800,1769248800,1769248800,1769250600,1769250600,FALSE,0,48.52947,77.5,0,REGULAR,248.55,383.92337,287.54388,41.94838,294088757,2448.889,11736.8,325.2002,0.02770774,11974.219,87.78125,0.007330854,31.417728,4.925499,15,15,Asia/Kolkata,IST,19800000,FALSE,FALSE,FALSE,12062,3.54785E+12,12056,NSI,13097,10047.85,1.6 - Buy,0.64,ULTRACEMCO.NS,,
